Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
AA005	1" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1070.012B (AMPAM) (Responsible: Unassigned)	7/6/2016				Lost	7/5/2016	BITS	SELF FEED BITS	
AA048	1" SELF FEED BIT		MILWAUKEE			AMPAM	SOCAL (AMPAM)			1124.0 (AMPAM) (Responsible: Unassigned)	1/18/2018					1/18/2018	BITS	SELF FEED BITS	
AL 491	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1245.0 (AMPAM) (Responsible: Unassigned)	7/30/2018					7/30/2018	LADDER	PLATFORM	
AL 808	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1217.0 (AMPAM) (Responsible: Unassigned)	8/23/2018					8/23/2018	LADDER	A-FRAME	
AL 809	6'  LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1217.0 (AMPAM) (Responsible: Unassigned)	8/23/2018					8/23/2018	LADDER	A-FRAME	
AL 832	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	9/14/2018					9/14/2018	LADDER	PLATFORM	
AL 833	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1174.0 (AMPAM) (Responsible: Unassigned)	9/14/2018					9/14/2018	LADDER	PLATFORM	
AL007	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1202.0 (AMPAM) (Responsible: Unassigned)	1/9/2018					7/23/2016	LADDER	PLATFORM	
AL008	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	2/14/2018					7/1/2016	LADDER	PLATFORM	
AL018	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1066.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
AL019	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1155.0 (AMPAM) (Responsible: Unassigned)	8/24/2017					3/15/2017	LADDER	A-FRAME	
AL027	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1089.0 (AMPAM) (Responsible: Unassigned)	2/2/2017				Lost	6/21/2016	LADDER	PLATFORM	
AL030	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1087.0 (AMPAM) (Responsible: Unassigned)	7/16/2016				Lost	7/16/2016	LADDER	PLATFORM	
AL046	6' LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	6/5/2018					6/28/2016	LADDER	PLATFORM	
AL051	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									7/13/2016	LADDER	PLATFORM	
AL052	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			FAB YARD (AMPAM) (Responsible: Unassigned)	8/27/2018					5/22/2018	LADDER	A-FRAME	
AL090	6' LADDER		LOUISVILLE			AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	11/28/2017					7/23/2016	LADDER	A-FRAME	
AL095	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1219.0 (AMPAM) (Responsible: Unassigned)	3/13/2018				Lost	3/13/2018	LADDER	PLATFORM	
AL099	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)									8/29/2017	LADDER	PLATFORM	
AL101	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1089.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
AL102	6' PLATFORM LADDER		LOUISVILLE	FS1506		AMPAM	SOCAL (AMPAM)			1228.0 (AMPAM) (Responsible: Unassigned)	6/5/2018					7/5/2016	LADDER	PLATFORM	
AL103	6' PLATFORM LADDER		LOUISVILLE	FP-1506		AMPAM	SOCAL (AMPAM)			1069.0 (AMPAM) (Responsible: Unassigned)	7/5/2016				Lost	7/5/2016	LADDER	PLATFORM	
